id,url,is_valid
8223884,https://phishtank.org/phish_detail.php?phish_id=8223884,VALID PHISH
8223883,https://phishtank.org/phish_detail.php?phish_id=8223883,VALID PHISH
8223882,https://phishtank.org/phish_detail.php?phish_id=8223882,VALID PHISH
8223881,https://phishtank.org/phish_detail.php?phish_id=8223881,VALID PHISH
8223880,https://phishtank.org/phish_detail.php?phish_id=8223880,VALID PHISH
8223879,https://phishtank.org/phish_detail.php?phish_id=8223879,Unknown
8223878,https://phishtank.org/phish_detail.php?phish_id=8223878,VALID PHISH
8223877,https://phishtank.org/phish_detail.php?phish_id=8223877,Unknown
8223876,https://phishtank.org/phish_detail.php?phish_id=8223876,VALID PHISH
8223875,https://phishtank.org/phish_detail.php?phish_id=8223875,VALID PHISH
8223874,https://phishtank.org/phish_detail.php?phish_id=8223874,VALID PHISH
8223873,https://phishtank.org/phish_detail.php?phish_id=8223873,VALID PHISH
8223872,https://phishtank.org/phish_detail.php?phish_id=8223872,VALID PHISH
8223871,https://phishtank.org/phish_detail.php?phish_id=8223871,VALID PHISH
8223870,https://phishtank.org/phish_detail.php?phish_id=8223870,VALID PHISH
8223869,https://phishtank.org/phish_detail.php?phish_id=8223869,VALID PHISH
8223868,https://phishtank.org/phish_detail.php?phish_id=8223868,VALID PHISH
8223867,https://phishtank.org/phish_detail.php?phish_id=8223867,VALID PHISH
8223866,https://phishtank.org/phish_detail.php?phish_id=8223866,VALID PHISH
8223865,https://phishtank.org/phish_detail.php?phish_id=8223865,VALID PHISH
8223864,https://phishtank.org/phish_detail.php?phish_id=8223864,VALID PHISH
8223863,https://phishtank.org/phish_detail.php?phish_id=8223863,VALID PHISH
8223862,https://phishtank.org/phish_detail.php?phish_id=8223862,VALID PHISH
8223861,https://phishtank.org/phish_detail.php?phish_id=8223861,VALID PHISH
8223860,https://phishtank.org/phish_detail.php?phish_id=8223860,VALID PHISH
8223859,https://phishtank.org/phish_detail.php?phish_id=8223859,VALID PHISH
8223858,https://phishtank.org/phish_detail.php?phish_id=8223858,VALID PHISH
8223857,https://phishtank.org/phish_detail.php?phish_id=8223857,VALID PHISH
8223856,https://phishtank.org/phish_detail.php?phish_id=8223856,VALID PHISH
8223855,https://phishtank.org/phish_detail.php?phish_id=8223855,VALID PHISH
8223854,https://phishtank.org/phish_detail.php?phish_id=8223854,VALID PHISH
8223853,https://phishtank.org/phish_detail.php?phish_id=8223853,VALID PHISH
8223852,https://phishtank.org/phish_detail.php?phish_id=8223852,Unknown
8223851,https://phishtank.org/phish_detail.php?phish_id=8223851,Unknown
8223850,https://phishtank.org/phish_detail.php?phish_id=8223850,VALID PHISH
8223849,https://phishtank.org/phish_detail.php?phish_id=8223849,VALID PHISH
8223848,https://phishtank.org/phish_detail.php?phish_id=8223848,VALID PHISH
8223847,https://phishtank.org/phish_detail.php?phish_id=8223847,VALID PHISH
8223846,https://phishtank.org/phish_detail.php?phish_id=8223846,VALID PHISH
8223845,https://phishtank.org/phish_detail.php?phish_id=8223845,VALID PHISH
8223844,https://phishtank.org/phish_detail.php?phish_id=8223844,VALID PHISH
8223843,https://phishtank.org/phish_detail.php?phish_id=8223843,VALID PHISH
8223842,https://phishtank.org/phish_detail.php?phish_id=8223842,VALID PHISH
8223841,https://phishtank.org/phish_detail.php?phish_id=8223841,VALID PHISH
8223840,https://phishtank.org/phish_detail.php?phish_id=8223840,VALID PHISH
8223839,https://phishtank.org/phish_detail.php?phish_id=8223839,VALID PHISH
8223838,https://phishtank.org/phish_detail.php?phish_id=8223838,VALID PHISH
8223837,https://phishtank.org/phish_detail.php?phish_id=8223837,VALID PHISH
8223836,https://phishtank.org/phish_detail.php?phish_id=8223836,VALID PHISH
8223835,https://phishtank.org/phish_detail.php?phish_id=8223835,VALID PHISH
8223834,https://phishtank.org/phish_detail.php?phish_id=8223834,VALID PHISH
8223833,https://phishtank.org/phish_detail.php?phish_id=8223833,VALID PHISH
8223832,https://phishtank.org/phish_detail.php?phish_id=8223832,VALID PHISH
8223831,https://phishtank.org/phish_detail.php?phish_id=8223831,VALID PHISH
8223830,https://phishtank.org/phish_detail.php?phish_id=8223830,VALID PHISH
8223829,https://phishtank.org/phish_detail.php?phish_id=8223829,VALID PHISH
8223828,https://phishtank.org/phish_detail.php?phish_id=8223828,VALID PHISH
8223827,https://phishtank.org/phish_detail.php?phish_id=8223827,VALID PHISH
8223826,https://phishtank.org/phish_detail.php?phish_id=8223826,VALID PHISH
8223825,https://phishtank.org/phish_detail.php?phish_id=8223825,VALID PHISH
8223824,https://phishtank.org/phish_detail.php?phish_id=8223824,VALID PHISH
8223823,https://phishtank.org/phish_detail.php?phish_id=8223823,VALID PHISH
8223822,https://phishtank.org/phish_detail.php?phish_id=8223822,VALID PHISH
8223821,https://phishtank.org/phish_detail.php?phish_id=8223821,VALID PHISH
8223820,https://phishtank.org/phish_detail.php?phish_id=8223820,Unknown
8223819,https://phishtank.org/phish_detail.php?phish_id=8223819,VALID PHISH
8223818,https://phishtank.org/phish_detail.php?phish_id=8223818,VALID PHISH
8223817,https://phishtank.org/phish_detail.php?phish_id=8223817,VALID PHISH
